,,,,,SCF,,,
?,? ,?, ?,  ?,Chord saddle,Chord crown,Brace saddle,Brace crown
25.00,0.95,0.97,30.00,1.57,16.11,8.93,9.40,2.28
30.00,0.40,0.71,20.00,1.57,14.64,5.11,11.71,2.82
24.00,0.91,0.95,11.00,1.57,6.80,7.18,4.88,3.46
23.00,0.54,0.24,29.00,1.57,6.69,1.63,9.87,1.55
8.00,0.79,0.80,13.00,1.57,9.06,3.04,6.30,2.03
22.00,0.41,1.00,26.00,1.57,27.92,6.66,17.05,2.42
26.00,0.94,0.50,30.00,1.57,8.13,4.68,7.40,1.73
34.00,0.74,0.50,27.00,1.57,12.15,4.64,11.60,2.10
5.00,0.53,0.94,28.00,1.57,29.03,4.11,15.77,1.15
25.00,0.44,0.43,31.00,1.57,13.36,3.07,13.72,1.88
35.00,0.38,0.60,30.00,1.57,17.98,4.88,15.65,2.51
19.00,0.84,0.98,26.00,1.57,20.41,6.76,12.03,1.93
39.00,0.34,0.22,21.00,1.57,4.02,1.77,7.14,2.70
15.00,0.86,0.39,9.00,1.57,2.44,1.99,3.42,2.64
11.00,1.00,0.71,24.00,1.57,6.90,4.20,4.80,1.49
19.00,0.40,0.94,10.00,1.57,9.97,5.07,7.05,2.96
8.00,0.78,0.20,24.00,1.57,3.71,0.88,5.88,1.44
26.00,0.23,0.84,25.00,1.57,17.70,6.32,12.94,3.43
27.00,0.95,0.42,15.00,1.57,3.21,3.73,3.94,2.76
5.00,0.28,0.99,10.00,1.57,9.27,4.75,5.93,2.73
35.00,0.34,0.97,9.00,1.57,8.81,6.61,6.65,3.58
14.00,0.22,0.74,10.00,1.57,6.03,4.27,5.33,3.12
37.00,0.97,0.83,10.00,1.57,4.09,9.19,3.58,4.50
5.00,0.39,0.45,16.00,1.57,7.04,2.03,6.76,2.37
12.00,0.53,0.75,24.00,1.57,19.41,3.85,13.34,1.75
30.00,0.78,0.66,21.00,1.57,12.06,5.63,9.82,2.65
7.00,0.84,0.89,29.00,1.57,20.48,4.01,11.61,0.75
20.00,0.92,0.33,29.00,1.57,5.40,2.56,6.41,1.39
9.00,0.94,0.56,26.00,1.57,7.98,2.90,6.34,1.22
24.00,0.55,0.47,16.00,1.57,7.72,2.98,8.02,2.52
13.00,0.68,0.64,28.00,1.57,17.71,3.42,13.24,1.30
17.00,0.56,0.97,14.00,1.57,14.96,5.10,9.55,2.59
24.00,0.36,0.67,32.00,1.57,21.28,4.84,16.68,2.32
6.00,0.48,0.84,23.00,1.57,20.98,3.79,12.72,1.69
40.00,0.76,0.76,14.00,1.57,9.70,7.54,7.83,3.84
23.00,0.73,0.91,18.00,1.57,15.86,6.18,10.45,2.68
4.00,0.52,1.00,29.00,1.57,32.19,4.32,16.45,1.05
32.00,0.60,0.78,19.00,1.57,15.77,6.08,11.77,2.90
31.00,0.92,0.22,25.00,1.57,2.98,2.22,5.03,1.83
17.00,0.33,0.91,11.00,1.57,9.93,5.02,7.13,2.94
32.00,0.73,0.69,15.00,1.57,9.75,5.70,8.13,3.17
15.00,0.23,0.40,22.00,1.57,6.89,2.69,7.89,3.17
32.00,0.81,0.46,28.00,1.57,10.22,4.35,10.18,1.94
30.00,0.69,0.57,29.00,1.57,15.99,4.74,13.81,1.88
22.00,0.99,0.22,15.00,1.57,1.27,1.77,2.69,2.39
27.00,0.26,0.30,19.00,1.57,4.58,2.14,6.75,3.05
37.00,0.94,0.53,13.00,1.57,3.76,5.83,4.12,3.54
14.00,0.62,0.99,32.00,1.57,34.18,5.56,19.46,1.16
29.00,0.22,0.64,9.00,1.57,4.63,4.15,4.92,3.31
38.00,1.00,0.94,19.00,1.57,7.43,11.64,4.93,4.36
37.00,0.53,0.78,17.00,1.57,14.35,6.33,11.04,3.21
34.00,0.99,0.69,15.00,1.57,4.46,7.59,3.94,3.68
8.00,1.00,0.53,31.00,1.57,6.46,2.91,5.06,0.83
5.00,0.97,0.41,8.00,1.57,1.51,1.27,2.33,2.33
36.00,0.94,0.45,25.00,1.57,6.03,5.17,6.27,2.47
30.00,0.51,0.73,27.00,1.57,21.19,5.55,15.96,2.29
23.00,0.98,0.96,25.00,1.57,11.36,8.43,6.74,2.51
30.00,0.51,0.93,18.00,1.57,18.44,6.69,12.39,3.00
20.00,0.38,0.49,9.00,1.57,4.32,2.66,4.96,2.91
40.00,0.47,0.32,31.00,1.57,9.76,2.84,12.55,1.93
39.00,0.23,0.73,20.00,1.57,12.13,5.83,10.32,3.58
39.00,0.88,0.32,15.00,1.57,3.09,3.50,4.58,2.91
16.00,0.67,0.80,19.00,1.57,15.50,4.36,10.68,2.12
19.00,0.78,0.96,20.00,1.57,17.35,6.09,10.71,2.32
19.00,0.26,0.60,12.00,1.57,6.21,3.64,6.07,3.07
33.00,0.22,0.56,28.00,1.57,12.43,4.54,11.93,3.55
15.00,0.77,0.92,30.00,1.57,25.25,5.48,15.05,1.26
40.00,0.36,0.67,27.00,1.57,17.96,5.67,14.96,2.88
12.00,1.00,0.50,29.00,1.57,5.67,3.20,4.85,1.19
13.00,0.73,0.56,23.00,1.57,11.88,2.91,9.88,1.63
17.00,0.63,0.85,21.00,1.57,18.86,4.81,12.45,2.07
22.00,0.70,0.97,29.00,1.57,28.40,6.76,17.11,1.84
23.00,0.42,0.29,27.00,1.57,7.47,1.97,9.97,2.05
38.00,0.26,0.64,20.00,1.57,11.11,5.06,10.10,3.37
34.00,0.36,0.63,17.00,1.57,10.57,4.66,9.49,3.05
32.00,0.50,0.46,17.00,1.57,8.02,3.39,8.61,2.68
40.00,0.89,0.95,13.00,1.57,8.59,10.58,6.13,4.65
27.00,0.34,0.90,26.00,1.57,23.45,6.55,15.80,2.81
24.00,0.20,0.50,21.00,1.57,7.86,3.67,8.32,3.48
24.00,0.65,0.53,11.00,1.57,5.80,3.30,5.95,2.85
11.00,0.91,0.52,30.00,1.57,9.55,2.95,7.90,1.01
6.00,0.94,0.67,32.00,1.57,11.96,3.17,7.84,0.54
